Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Danby, G; Flower, DR; ",On the S₀ (0) and S₁ (0) spectra of the H₂-H₂ dimer,""" Journal of Physics B: Atomic, Molecular and Optical Physics""",17,,,1984,IOP Publishing
"Lee, HJ; Adams, CS; Kasevich, M; Chu, S; ",Raman cooling of atoms in an optical dipole trap,Physical review letters,76,15,2658,1996,APS
"Roche, Christine F; Ernesti, Andreas; Hutson, Jeremy M; Dickinson, Alan S; ",An evaluation of existing potential energy surfaces for CO2–Ar: Pressure broadening and high‐resolution spectroscopy of van der Waals complexes,The Journal of chemical physics,104,6,2156-2166,1996,American Institute of Physics
"Baker, DJ; Flower, DR; ",Vibrational relaxation in collisions between 12C16O and para-H2,Journal of Physics B: Atomic and Molecular Physics,17,23,L829,1984,IOP Publishing
"Pineau des Forêts, G; Roueff, E; Flower, DR; ",The formation of nitrogen-bearing species in dark interstellar clouds,"Monthly Notices of the Royal Astronomical Society (ISSN 0035-8711), vol. 244, June 15, 1990, p. 668-674. Research supported by EEC.",244,,668-674,1990,
"Jones, MP; Chapman, Peter; Bailey, K; ",The influence of image valence on visual attention and perception of risk in drivers,Accident Analysis & Prevention,73,,296-304,2014,Elsevier
"Keaveney, James; Sargsyan, Armen; Krohn, Ulrich; Hughes, Ifan G; Sarkisyan, David; Adams, Charles S; ",Cooperative Lamb shift in an atomic vapor layer of nanometer thickness,Physical review letters,108,17,173601,2012,APS
"Aldegunde, J; Rivington, Ben A; Żuchowski, Piotr S; Hutson, Jeremy M; ",Hyperfine energy levels of alkali-metal dimers: Ground-state polar molecules in electric and magnetic fields,Physical Review A,78,3,033434,2008,APS
"Wright, Nicholas J; Hutson, Jeremy M; ","Gas Phase Dynamics and Structure: Spectroscopy, Molecular Interactions, Scattering, and Photochemistry-Regular and irregular vibrational states: Localized anharmonic modes and transition-state",Journal of Chemical Physics,112,7,3214-3219,2000,"[New York, etc.]: American Institute of Physics."
"Cornish, Simon; ",From atoms to molecules (and back),Physics,1,,24,2008,APS
"Peet, Andrew C; Clary, David C; Hutson, Jeremy M; ",Vibrational predissociation of the ethylene dimer,Faraday Discussions of the Chemical Society,82,,327-342,1986,Royal Society of Chemistry
"Walmsley, Malcolm; Des Forêts, Guillaume Pineau; Flower, David; ",Shock Models Revisited,Proceedings of the International Astronomical Union,1,S231,135-140,2005,Cambridge University Press
